text,value
혼다,13.6686173
전자장비,5.58621919
스마트카,4.89824072
농기계,3.95690911
건설기계,3.77119608
캠핑카,3.41953747
피스톤,3.32869979
대형트럭,2.99410053
스포츠카,2.63140094
항공,2.58580813
전동공구,2.50722788
모빌리티,2.17151274
자율주행차,2.07735854
도요타,2.02796082
중장비,1.82437679
국산차,1.7756249
건설장비,1.71182213
오토바이,1.61933033
닛산,1.60643393
부품,1.60062928
화물차,1.56163959
이차전지,1.46245226
전기자동차,1.38988202
파스너,1.35928184
차랑,1.35616251
렉서스,1.29418336
승용,1.2571376
커넥터,1.23003668
소형차,1.14407245
가열로,1.03731357
상용차,0.992521435
유압,0.886669802
픽업트럭,0.865535435
스마트자동차,0.835428775
동차,0.78940757
공작기계,0.712907429
승합차,0.710439356
핫스탬핑,0.705017035
차,0.691237805
륜차,0.644987041
상용차업체,0.571587018
윤활유,0.571275523
이륜차,0.557891356
축전지,0.52080853
강관,0.512603237
타이어,0.509405306
모터사이클,0.432566254
수입차,0.380972544
전기차,0.378571686
델파이,0.368460703
지게차,0.367248824
크라이슬러,0.364999011
섀시,0.349976294
알루미늄,0.339136811
현대자동차,0.332397735
수소연료전지차,0.324168602
완성차,0.299060672
커넥티드카,0.284785004
반조립제품,0.258486855
특장차,0.23739391
아쇼크,0.227230982
첨단운전자지원시스템,0.19731831
디젤차,0.19131095
특수차,0.171092755
기차,0.16030409
스코다,0.157067297
신차,0.154344702
굴착기,0.153582721
금형,0.153083152
애프터마켓,0.1427426
현대기아차,0.136670158
마쓰다,0.131407754
트랙터,0.125644188
하네스,0.123685272
자동자,0.112327097
굴삭기,0.102196498
포드,0.0982777967
변압기,0.095748009
기어드,0.0812545629
자동차부품,0.0698074908
공조시스템,0.0684652359
하이브리드차,0.0507207256
승용차,0.0453364126
파워트레인,0.0375438638
하이브리드카,0.022875201
보쉬,0.0136990606
차량,0.00682142324
다임러,0.00670417408
폭스바겐,0.00522282003
전장용,0.00460271434
자동차전장,0.00401109574
차대,0.00381021225
오일펌프,0.00247702713
항공우주,0.00239009773
친환경차,0.00235171708
액화석유가스,0.000131376428
고급차,0.000117920139
미라이,8.98604929e-05
슈퍼카,5.41596116e-05
댐퍼,3.42265273e-05
