date,price
2015-1-01,10750
2015-2-01,10726
2015-3-01,13651
2015-4-01,11945
2015-5-01,10658
2015-6-01,11962
2015-7-01,12943
2015-8-01,11838
2015-9-01,11108
2015-10-01,12373
2015-11-01,11282
2015-12-01,11881
2016-1-01,11602
2016-2-01,13778
2016-3-01,13260
2016-4-01,11206
2016-5-01,11328
2016-6-01,10512
2016-7-01,12413
2016-8-01,13250
2016-9-01,10872
2016-10-01,12020
2016-11-01,11999
2016-12-01,11574
2017-1-01,10452
2017-2-01,12261
2017-3-01,12921
2017-4-01,11098
2017-5-01,10470
2017-6-01,10504
2017-7-01,11695
2017-8-01,13259
2017-9-01,13326
2017-10-01,10822
2017-11-01,14452
2017-12-01,13320
