date,price
2020-10-30,535000.0
2020-10-29,548000.0
2020-10-28,555000.0
2020-10-27,554000.0
2020-10-26,559000.0
2020-10-23,567000.0
2020-10-22,568000.0
2020-10-21,567000.0
2020-10-20,553000.0
2020-10-19,562000.0
2020-10-16,560000.0
2020-10-15,564000.0
2020-10-14,564000.0
2020-10-13,571000.0
2020-10-12,577000.0
2020-10-08,576000.0
2020-10-07,575000.0
2020-10-06,576000.0
2020-10-05,575000.0
2020-09-29,568000.0
2020-09-28,570000.0
2020-09-25,562000.0
2020-09-24,561000.0
2020-09-23,577000.0
2020-09-22,577000.0
2020-09-21,584000.0
2020-09-18,589000.0
2020-09-17,578000.0
2020-09-16,585000.0
2020-09-15,586000.0
2020-09-14,590000.0
2020-09-13,589000.0
2020-09-11,589000.0
2020-09-10,596000.0
2020-09-09,587000.0
2020-09-08,582000.0
2020-09-07,582000.0
2020-09-04,581000.0
2020-09-03,592000.0
2020-09-02,596000.0
2020-09-01,602000.0
2020-08-31,602000.0
2020-08-30,609000.0
2020-08-28,609000.0
2020-08-27,580000.0
2020-08-26,591000.0
2020-08-25,598000.0
2020-08-24,595000.0
2020-08-21,585000.0
2020-08-20,574000.0
2020-08-19,595000.0
2020-08-18,583000.0
2020-08-17,593000.0
2020-08-14,593000.0
2020-08-13,599000.0
2020-08-12,605000.0
2020-08-11,590000.0
2020-08-10,573000.0
2020-08-09,568000.0
2020-08-07,568000.0
2020-08-06,569000.0
2020-08-05,566000.0
2020-08-04,569000.0
2020-08-03,568000.0
2020-07-31,558000.0
2020-07-30,556000.0
2020-07-29,557000.0
2020-07-28,556000.0
2020-07-27,556000.0
2020-07-26,552000.0
2020-07-24,552000.0
2020-07-23,558000.0
2020-07-22,561000.0
2020-07-21,561000.0
2020-07-20,563000.0
2020-07-17,567000.0
2020-07-16,571000.0
2020-07-15,575000.0
2020-07-14,565000.0
2020-07-13,569000.0
2020-07-10,573000.0
2020-07-09,576000.0
2020-07-08,567000.0
2020-07-07,565000.0
2020-07-06,572000.0
2020-07-05,573000.0
2020-07-03,573000.0
2020-07-02,566000.0
2020-07-01,563000.0
2020-06-30,557000.0
2020-06-29,551000.0
2020-06-28,560000.0
2020-06-26,560000.0
2020-06-25,559000.0
2020-06-24,572000.0
2020-06-23,574000.0
2020-06-22,577000.0
2020-06-21,587000.0
2020-06-19,587000.0
2020-06-18,571000.0
2020-06-17,584000.0
2020-06-16,576000.0
2020-06-15,549000.0
2020-06-12,582000.0
2020-06-11,579000.0
2020-06-10,590000.0
2020-06-09,586000.0
2020-06-08,581000.0
2020-06-05,571000.0
2020-06-04,568000.0
2020-06-03,563000.0
2020-06-02,561000.0
2020-06-01,559000.0
2020-05-31,551000.0
2020-05-29,551000.0
2020-05-28,561000.0
2020-05-27,568000.0
2020-05-26,567000.0
2020-05-25,566000.0
2020-05-22,571000.0
2020-05-21,575000.0
2020-05-20,575000.0
2020-05-19,577000.0
2020-05-18,601000.0
2020-05-17,589000.0
2020-05-15,589000.0
2020-05-14,534000.0
2020-05-13,538000.0
2020-05-12,530000.0
2020-05-11,534000.0
2020-05-08,537000.0
2020-05-07,534000.0
2020-05-06,535000.0
2020-05-04,531000.0
2020-05-03,545000.0
2020-04-29,545000.0
2020-04-28,548000.0
2020-04-27,552000.0
2020-04-24,539000.0
2020-04-23,540000.0
2020-04-22,532000.0
2020-04-21,526000.0
2020-04-20,536000.0
2020-04-17,536000.0
2020-04-16,537000.0
2020-04-15,532000.0
2020-04-14,532000.0
2020-04-13,532000.0
2020-04-10,525000.0
2020-04-09,535000.0
2020-04-08,535000.0
2020-04-07,544000.0
2020-04-06,545000.0
2020-04-05,507000.0
2020-04-03,507000.0
2020-04-02,494000.0
2020-04-01,472500.0
2020-03-31,475500.0
2020-03-30,469000.0
2020-03-29,461500.0
2020-03-27,461500.0
2020-03-26,465500.0
2020-03-25,467000.0
2020-03-24,459500.0
2020-03-23,435500.0
2020-03-20,463000.0
2020-03-19,434000.0
2020-03-18,445500.0
2020-03-17,460000.0
2020-03-16,467000.0
2020-03-15,463000.0
2020-03-13,463000.0
2020-03-12,465000.0
2020-03-11,487000.0
2020-03-10,491000.0
2020-03-09,497000.0
2020-03-06,514000.0
2020-03-05,523000.0
2020-03-04,516000.0
2020-03-03,490500.0
2020-03-02,491000.0
2020-03-01,497000.0
2020-02-28,497000.0
2020-02-27,513000.0
2020-02-26,513000.0
2020-02-25,519000.0
2020-02-24,544000.0
2020-02-21,512000.0
2020-02-20,516000.0
2020-02-19,520000.0
2020-02-18,527000.0
2020-02-17,537000.0
2020-02-14,531000.0
2020-02-13,530000.0
2020-02-12,535000.0
2020-02-11,532000.0
2020-02-10,528000.0
2020-02-07,527000.0
2020-02-06,533000.0
2020-02-05,502000.0
2020-02-04,498500.0
